reactome_id	name	snps
R-HSA-1640170	Cell Cycle	rs2277339, rs2312147, rs4668356, rs2244012, rs1007738, rs1561570, rs2301436, rs10758669, rs1490388, rs13194491, rs4132509, rs2916733, rs6435862, rs365132, rs4238010, rs4369779, rs831571, rs7158173, rs13224682, rs3218097, rs11968166, rs4906172, rs2283792, rs12199222, rs837763, rs16912145, rs1493682, rs445, rs8102137, rs12143943, rs12913832, rs730566, rs738722, rs784411, rs2431697, rs17077154, rs2718812, rs4800148, rs16991615, rs7798500, rs11661542, rs1063192, rs2853676, rs10460009, rs1031381, rs16861990, rs690705, rs12483205, rs2835810, rs236114, rs3768716, rs11082304, rs2069408, rs1547014, rs990324, rs2807580, rs11611647, rs9357155, rs1667394, rs9388489, rs2282978, rs4294134, rs11158493, rs1321311, rs2236164, rs3889237, rs438034, rs3131379, rs2736100, rs9642880, rs10876993, rs1801516
R-HSA-109581	Apoptosis	rs2084385, rs242557, rs710521, rs8070723, rs8192917, rs10946808, rs6845865, rs4132509, rs210134, rs11141915, rs9357155, rs744166, rs13278062, rs11618202, rs831571, rs768048, rs477895, rs7236477, rs7504990, rs7610017, rs10937405, rs2283792, rs9929218, rs1941184, rs2234978, rs210138
R-HSA-1500931	Cell-Cell communication	rs4925189, rs4468878, rs3784962, rs13078807, rs9292394, rs2298574, rs11898505, rs1970546, rs1939992, rs12621278, rs4701252, rs2268983, rs11645366, rs4935969, rs7905537, rs7255066, rs1474747, rs525410, rs10489849, rs8055236, rs3816995, rs6122972, rs9929218, rs944260, rs1557488, rs6462411, rs4783244, rs4479806, rs6563943, rs7804356
R-HSA-8953897	Cellular responses to external stimuli	rs12138950, rs1127065, rs2244012, rs7805747, rs12537, rs694739, rs10946808, rs13194491, rs17036350, rs4821544, rs744166, rs7579899, rs831571, rs12424086, rs1776897, rs6625163, rs2234962, rs4906172, rs2283792, rs12199222, rs16912145, rs11221332, rs4601609, rs445, rs8102137, rs12143943, rs7742369, rs5919432, rs9623117, rs139909, rs2241880, rs1063192, rs7795096, rs6590330, rs2069408, rs2088885, rs9357155, rs7979673, rs3792109, rs17030613, rs1490453, rs9472138, rs4294134, rs2282978, rs8756, rs12484776, rs1321311, rs7665090, rs5031002, rs10876993, rs1801516
R-HSA-4839726	Chromatin organization	rs2900333, rs7538876, rs12423712, rs10758669, rs9395066, rs2651899, rs13194491, rs16938437, rs3799977, rs10948197, rs6774494, rs4742269, rs17050782, rs6009824, rs7089424, rs1713985, rs2517388, rs2240335, rs7665090, rs2251219, rs10876993
R-HSA-400253	Circadian Clock	rs10423674, rs11868035, rs809736, rs340029, rs1366594, rs6442925, rs339969, rs12915189, rs2229741, rs3743266, rs3784609, rs11071559
R-HSA-73894	DNA Repair	rs2244012, rs1923775, rs9402515, rs911263, rs1956529, rs6761, rs6499640, rs6435862, rs13194491, rs365132, rs420259, rs999737, rs9894429, rs6010620, rs12913832, rs730566, rs738722, rs8050136, rs16966142, rs11661542, rs3768716, rs3136202, rs690705, rs3219090, rs4809324, rs2069408, rs6900341, rs1547014, rs2240466, rs16859517, rs1667394, rs7603514, rs9941349, rs4950322, rs240993, rs2218488, rs2718812, rs2113334, rs1801516
R-HSA-69306	DNA Replication	rs831571, rs2277339, rs16991615, rs236114, rs837763, rs690705, rs16912145, rs8102137, rs2069408, rs9357155
R-HSA-1266738	Developmental Biology	rs4764043, rs10507380, rs1574192, rs1064395, rs3914132, rs13236689, rs7050529, rs4468878, rs2650000, rs4821469, rs2755237, rs735854, rs2160519, rs3110496, rs1648707, rs10748128, rs6761, rs17157903, rs10096633, rs9960767, rs2280401, rs744166, rs7111341, rs7579899, rs7341475, rs2839627, rs7305618, rs6107516, rs4812829, rs234720, rs6028945, rs4430796, rs4601609, rs6670655, rs9480865, rs7501939, rs12678919, rs1011731, rs882300, rs9871760, rs730497, rs2158836, rs7319311, rs12423712, rs2298574, rs11898505, rs6795970, rs197770, rs1379659, rs1800961, rs7702057, rs4282339, rs3805236, rs2083637, rs2300478, rs1529672, rs2121875, rs12643654, rs11979158, rs6052699, rs4703129, rs3790844, rs4607517, rs10761482, rs3889237, rs1755289, rs7665090, rs2517388, rs613872, rs10810865, rs10876993, rs744910, rs4404602, rs10521222, rs10510181, rs2729409, rs1366594, rs6800541, rs7310409, rs1551943, rs3922844, rs10074258, rs11767557, rs13194491, rs4132509, rs3757840, rs735396, rs768048, rs216013, rs831571, rs11868035, rs3218097, rs7236477, rs7504990, rs10483853, rs12344583, rs3742207, rs11968166, rs10994397, rs7044529, rs11695685, rs10243024, rs4298437, rs731174, rs2283792, rs757978, rs10932886, rs7076247, rs944260, rs1746048, rs4925189, rs224278, rs339331, rs2281845, rs4764039, rs3780792, rs2084385, rs2153960, rs1435703, rs4112788, rs748404, rs2839619, rs499697, rs6068020, rs678962, rs17581368, rs1970546, rs7069923, rs266717, rs3130501, rs3126085, rs12580100, rs2502731, rs9357155, rs7315438, rs2070615, rs11897119, rs538147, rs6764363, rs12540874, rs12053903, rs12279261, rs13015447, rs1941184, rs2032794, rs1436109, rs6604026, rs4948418
R-HSA-8963743	Digestion and absorption	
R-HSA-1643685	Disease	rs10507380, rs10945919, rs2515629, rs1574192, rs6902771, rs1378942, rs2755237, rs2248359, rs1667255, rs310501, rs1816002, rs5751901, rs10748128, rs6868223, rs6761, rs1876518, rs2280401, rs7651039, rs1260326, rs1776897, rs11984075, rs17556665, rs2981579, rs4842838, rs6756629, rs9480865, rs4227, rs1350666, rs8002779, rs4149268, rs1371924, rs4338740, rs275380, rs3805236, rs552976, rs2597513, rs7249094, rs2575876, rs11979158, rs4294134, rs2800, rs9282641, rs1874326, rs2504063, rs7665090, rs6710518, rs1484170, rs744910, rs2562784, rs4767631, rs7903146, rs780092, rs4315565, rs6544713, rs4132509, rs6795735, rs2273061, rs6056, rs6420094, rs737267, rs152528, rs1219648, rs17115100, rs2283792, rs10243024, rs5219, rs4299376, rs7742369, rs404860, rs995030, rs780094, rs12821256, rs12580100, rs9357155, rs5215, rs3027409, rs16890979, rs3736228, rs11158493, rs1999805, rs27524, rs1321311, rs2352028, rs864537, rs17369571, rs2032794, rs4675374, rs1427593, rs6604026, rs2978263, rs4533267, rs13129697, rs1064395, rs7122539, rs13236689, rs13230047, rs2075726, rs12686004, rs10758669, rs6742078, rs543650, rs5751614, rs443198, rs7183263, rs2257205, rs744166, rs4363657, rs9296015, rs530501, rs9523762, rs477895, rs10508517, rs7134594, rs1801239, rs733175, rs12199222, rs4601609, rs1008953, rs2860580, rs882300, rs4072037, rs3782181, rs730497, rs6547705, rs16946160, rs16928809, rs12423712, rs2073643, rs8028182, rs16856332, rs2899472, rs11984041, rs8016947, rs11254363, rs2439312, rs7677751, rs786870, rs887829, rs12899618, rs2943641, rs4333130, rs4607517, rs1755289, rs337847, rs8101881, rs10810865, rs7025486, rs1127065, rs10513789, rs2301436, rs1733724, rs7578326, rs2305707, rs10488031, rs7632299, rs17036350, rs3757840, rs7901695, rs1109501, rs6673480, rs4660531, rs831571, rs169082, rs505802, rs2121875, rs9929218, rs3775948, rs6602175, rs3131296, rs2108225, rs2114039, rs454305, rs4149081, rs4962416, rs2153960, rs2084385, rs7072268, rs10491334, rs10133111, rs12896399, rs6834555, rs11065987, rs10444502, rs741301, rs3905000, rs2056626, rs9642880, rs1458038
R-HSA-1474244	Extracellular matrix organization	rs2277027, rs7077361, rs1064395, rs12198173, rs4956211, rs1551943, rs310501, rs185819, rs1816002, rs1667255, rs1054627, rs12621278, rs6056, rs6795735, rs946053, rs4820268, rs855791, rs525410, rs11150610, rs7044529, rs3742207, rs9929218, rs1008953, rs1555322, rs893817, rs7077164, rs6504218, rs495366, rs2158836, rs3791679, rs7319311, rs3781684, rs5498, rs783147, rs4444235, rs27855, rs281437, rs197770, rs2306029, rs17001239, rs2268983, rs7577894, rs1227756, rs12431733, rs374748, rs4789939, rs2269426, rs2275215, rs967417, rs1150754, rs3093030, rs27524, rs606452, rs9888739, rs12279261, rs1799969, rs3889237, rs441051, rs11574637, rs4925386, rs1436109, rs10874639
R-HSA-397014	Muscle contraction	rs4725982, rs365990, rs10919071, rs4074536, rs12883884, rs1127065, rs6800541, rs1551943, rs3922844, rs1926203, rs12576239, rs216013, rs2237886, rs3825214, rs2819742, rs163182, rs2237892, rs975121, rs7076247, rs5219, rs6544997, rs7554607, rs3807375, rs2270676, rs2281845, rs2237878, rs2084385, rs2681472, rs11065611, rs7069923, rs2580816, rs6795970, rs358592, rs6807064, rs2306677, rs4640244, rs2070615, rs2819770, rs5215, rs1440072, rs2681492, rs179429, rs727957, rs999943, rs2900976, rs12476289, rs12053903, rs13015447, rs2229116, rs8079702, rs3758354, rs909116, rs11957313
R-HSA-74160	Gene expression (Transcription)	rs4764043, rs706779, rs3818361, rs6902771, rs2755237, rs2160519, rs339969, rs285480, rs7805747, rs694739, rs6761, rs6435862, rs6065, rs10876432, rs7111341, rs1992950, rs260461, rs4812829, rs7610017, rs12143943, rs2234978, rs730566, rs931608, rs7812879, rs9480865, rs5919432, rs11071559, rs139909, rs987237, rs11661542, rs3219090, rs7090512, rs11979158, rs2282978, rs4294134, rs12484776, rs2504063, rs1768208, rs2718812, rs32579, rs8083432, rs7120118, rs744910, rs2244012, rs7903146, rs7474896, rs6959888, rs10800098, rs4132509, rs2336725, rs2273061, rs920590, rs12034383, rs4238010, rs7158173, rs2736340, rs2304130, rs11968166, rs1024161, rs2283792, rs10243024, rs6499188, rs4857855, rs8102137, rs738722, rs404860, rs4764039, rs2562519, rs7498403, rs1435703, rs3807989, rs690705, rs2240466, rs9357155, rs12251307, rs1264202, rs1999805, rs1321311, rs7911500, rs3118470, rs110419, rs2978263, rs1801516, rs29941, rs5742915, rs956237, rs6701713, rs710521, rs3764640, rs543650, rs9803659, rs443198, rs816488, rs896854, rs9296015, rs2859631, rs2016266, rs3825214, rs6691768, rs12199222, rs16912145, rs4601609, rs3745672, rs3743266, rs6265, rs730497, rs1063192, rs12423712, rs1953126, rs4724100, rs7795096, rs1424233, rs8028182, rs2069408, rs1800961, rs5031002, rs11611647, rs231735, rs855913, rs1529672, rs809736, rs967417, rs6009824, rs3790844, rs6509701, rs1436900, rs4607517, rs2517388, rs9923451, rs10876993, rs10903122, rs6941421, rs1127065, rs1366594, rs6500818, rs1600249, rs4843747, rs17036350, rs13194491, rs3757840, rs7901695, rs16933812, rs4660531, rs831571, rs11868035, rs3218097, rs6625163, rs2104286, rs3131296, rs6611365, rs445, rs454305, rs10506328, rs4939827, rs9623117, rs2153960, rs9310736, rs3768716, rs10491334, rs2038256, rs1547014, rs13278062, rs8321, rs340029, rs1490453, rs9472138, rs10937405, rs501764, rs7097, rs7193343, rs9642880, rs2251219, rs3784609
R-HSA-109582	Hemostasis	rs1574192, rs710841, rs13236689, rs10919071, rs6561030, rs1378942, rs838705, rs10758669, rs12621278, rs4142110, rs16938437, rs2208059, rs6065, rs9898, rs10813766, rs673548, rs4369779, rs1569476, rs11150610, rs2070729, rs1348582, rs717615, rs867186, rs10871454, rs290986, rs10871290, rs1008953, rs1541160, rs10195252, rs1799852, rs17525472, rs4800148, rs11065611, rs11082304, rs2297909, rs8028182, rs798544, rs2069408, rs6448771, rs3796804, rs6807064, rs140174, rs385893, rs6136, rs7923609, rs2306677, rs1182188, rs1867504, rs999943, rs10889353, rs7595037, rs12476289, rs8035957, rs786870, rs749005, rs3889237, rs441051, rs11574637, rs737337, rs6583826, rs17030613, rs8101881, rs17174870, rs7586970, rs11248060, rs12138950, rs12883884, rs2893923, rs541041, rs1551943, rs911263, rs3811647, rs1956529, rs4979906, rs13088462, rs6056, rs17035378, rs6532197, rs4714261, rs1167998, rs1012053, rs169082, rs4148546, rs693, rs13224682, rs999737, rs12344583, rs1926657, rs3177980, rs2283792, rs4857855, rs10092658, rs3184504, rs10506328, rs1004446, rs6504218, rs1049296, rs11880198, rs2731672, rs3780792, rs710446, rs6754295, rs7798500, rs10841496, rs3807989, rs783147, rs17581368, rs2681472, rs798497, rs3753242, rs10495928, rs569214, rs5742692, rs7922491, rs2268983, rs17001239, rs3923113, rs2681492, rs13278062, rs291353, rs1335532, rs12418204, rs11158493, rs501764, rs9888739, rs869244, rs11611208, rs4148441, rs9472138, rs4795067
